Match,Provider,Bet,Team,Timestamp
Liquid-vs-Evil Geniuses-yearmonthday,rb88-hidden,1.66,Liquid,fecha
Liquid-vs-Evil Geniuses-yearmonthday,bobbet-hidden,1.54,Liquid,fecha
Liquid-vs-Evil Geniuses-yearmonthday,luckbox,1.57,Liquid,fecha
Liquid-vs-Evil Geniuses-yearmonthday,betway,2.2,Evil Geniuses,fecha
Liquid-vs-Evil Geniuses-yearmonthday,ggbet,2.41,Evil Geniuses,fecha
Liquid-vs-Evil Geniuses-yearmonthday,ggbetru-hidden,2.41,Evil Geniuses,fecha
Liquid-vs-Evil Geniuses-yearmonthday,thunderpick,2.38,Evil Geniuses,fecha
Liquid-vs-Evil Geniuses-yearmonthday,lootbet,2.35,Evil Geniuses,fecha
Liquid-vs-Evil Geniuses-yearmonthday,bet365,2.2,Evil Geniuses,fecha
Liquid-vs-Evil Geniuses-yearmonthday,1xbet,2.28,Evil Geniuses,fecha
Liquid-vs-Evil Geniuses-yearmonthday,1xstavka-hidden,2.28,Evil Geniuses,fecha
Liquid-vs-Evil Geniuses-yearmonthday,pinnacle,2.18,Evil Geniuses,fecha
Liquid-vs-Evil Geniuses-yearmonthday,buff88,2.36,Evil Geniuses,fecha
Liquid-vs-Evil Geniuses-yearmonthday,unibet,2.5,Evil Geniuses,fecha
Liquid-vs-Evil Geniuses-yearmonthday,thunderfire-hidden,2.25,Evil Geniuses,fecha
Liquid-vs-Evil Geniuses-yearmonthday,parimatch,2.35,Evil Geniuses,fecha
Liquid-vs-Evil Geniuses-yearmonthday,skrilla-hidden,2.43,Evil Geniuses,fecha
Liquid-vs-Evil Geniuses-yearmonthday,unikrn,2.37,Evil Geniuses,fecha
Liquid-vs-Evil Geniuses-yearmonthday,vulkan,2.41,Evil Geniuses,fecha
Liquid-vs-Evil Geniuses-yearmonthday,vulkanru-hidden,2.41,Evil Geniuses,fecha
Liquid-vs-Evil Geniuses-yearmonthday,raybet-hidden,2.34,Evil Geniuses,fecha
Liquid-vs-Evil Geniuses-yearmonthday,dongying-hidden,2.25,Evil Geniuses,fecha
Liquid-vs-Evil Geniuses-yearmonthday,betwinner,2.28,Evil Geniuses,fecha
Liquid-vs-Evil Geniuses-yearmonthday,yabo-hidden,2.41,Evil Geniuses,fecha
Liquid-vs-Evil Geniuses-yearmonthday,shark-hidden,,Evil Geniuses,fecha
Liquid-vs-Evil Geniuses-yearmonthday,rb88-hidden,2.28,Evil Geniuses,fecha
Liquid-vs-Evil Geniuses-yearmonthday,bobbet-hidden,2.41,Evil Geniuses,fecha
